id,date,region,latitude,longitude,soil_type,crop_type,month,year,lst_celsius,ndvi,savi,evi,ta_celsius,rh_percent,wind_ms,solar_wm2,vpd_kpa,et0_mm_day,soil_moisture,field_capacity,wilting_point,irrigation_event,cwsi,stress_label
1,2021-10-15,Sfax,34.74,10.76,sandy-loam,Potato,10,2021,23.67,0.3307,0.2708,0.5067,21.98,61.74,3.54,454.6,1.0102,1.246,0.188,0.28,0.1,0,0.283,mild
2,2023-08-02,Nabeul,36.45,10.73,sandy,Barley,8,2023,36.72,0.124,0.1145,0.2176,30.35,30.56,4.54,633.6,3.0061,1.781,0.0942,0.18,0.06,0,0.6498,medium
3,2022-08-02,Kairouan,35.67,10.1,clay-loam,Potato,8,2022,31.19,0.2474,0.2123,0.3995,30.2,54.38,5.28,697.3,1.9577,1.862,0.2837,0.36,0.18,0,0.1952,low
4,2022-06-06,Béja,36.73,9.18,loam,Barley,6,2022,31.11,0.1494,0.1358,0.2575,28.53,44.02,4.77,637.8,2.1822,1.719,0.1944,0.32,0.12,0,0.3632,mild
5,2022-10-14,Gabès,33.88,9.79,sandy,Tomato,10,2022,32.42,0.0753,0.0716,0.1367,26.81,54.99,0.9,444.1,1.5872,1.381,0.0718,0.18,0.06,0,0.6732,medium
6,2021-06-15,Béja,36.73,9.18,loam,Tomato,6,2021,33.59,0.1977,0.1746,0.3298,27.83,36.21,2.76,675.5,2.3873,1.743,0.1713,0.32,0.12,1,0.6765,medium
7,2023-08-03,Béja,36.73,9.18,loam,Potato,8,2023,38.38,0.2425,0.2087,0.3928,35.66,41.2,4.28,741.5,3.4295,2.139,0.2315,0.32,0.12,0,0.3151,mild
8,2023-09-05,Nabeul,36.45,10.73,sandy,Barley,9,2023,36.05,0.0666,0.0637,0.1217,30.37,38.01,2.8,611.5,2.6862,1.75,0.0794,0.18,0.06,0,0.5998,medium
9,2021-01-27,Nabeul,36.45,10.73,sandy,Citrus,1,2021,12.21,0.354,0.2863,0.5348,12.3,90.67,1.61,208.9,0.1335,0.639,0.137,0.18,0.06,0,0.1202,low
10,2022-12-20,Kairouan,35.67,10.1,clay-loam,Pepper,12,2022,24.11,0.059,0.0568,0.1085,16.98,50.0,4.8,168.8,0.9678,0.664,0.2059,0.36,0.18,0,0.8972,high
11,2022-03-15,Kairouan,35.67,10.1,clay-loam,Wheat,3,2022,20.73,0.0956,0.0898,0.1711,15.58,55.88,3.74,464.2,0.7808,1.057,0.2101,0.36,0.18,1,0.7161,medium
12,2022-03-27,Sfax,34.74,10.76,sandy-loam,Citrus,3,2022,26.61,0.0689,0.0658,0.1257,20.79,54.08,1.37,504.3,1.1271,1.273,0.1297,0.28,0.1,1,0.7109,medium
13,2022-07-05,Kairouan,35.67,10.1,clay-loam,Wheat,7,2022,37.53,0.2196,0.1914,0.361,33.86,42.66,2.46,823.4,3.0267,2.178,0.2743,0.36,0.18,0,0.3742,mild
14,2023-03-07,Gafsa,34.43,8.78,sandy,Citrus,3,2023,19.78,0.1718,0.154,0.2916,17.34,66.18,0.57,381.6,0.6694,1.009,0.1305,0.18,0.06,0,0.3618,mild
15,2021-08-27,Sidi Bouzid,35.04,9.48,sandy-loam,Tomato,8,2021,35.53,0.3749,0.2997,0.5592,31.92,51.57,5.93,796.4,2.2925,2.062,0.1955,0.28,0.1,0,0.4057,mild
16,2021-11-08,Bizerte,37.27,9.87,loam,Olive,11,2021,18.76,0.1603,0.1447,0.2743,17.59,75.41,1.52,277.9,0.4946,0.867,0.2306,0.32,0.12,0,0.299,mild
17,2023-09-11,Gafsa,34.43,8.78,sandy,Barley,9,2023,37.42,0.0249,0.0245,0.0469,29.01,40.99,4.54,629.8,2.3646,1.726,0.0654,0.18,0.06,0,0.793,high
18,2023-10-22,Sfax,34.74,10.76,sandy-loam,Wheat,10,2023,32.06,0.028,0.0274,0.0526,24.24,38.78,5.23,503.5,1.8533,1.386,0.1051,0.28,0.1,0,0.8262,high
19,2023-09-08,Sfax,34.74,10.76,sandy-loam,Potato,9,2023,30.37,0.1544,0.1399,0.2652,26.75,60.14,2.3,649.2,1.4003,1.668,0.1772,0.28,0.1,0,0.491,mild
20,2023-09-24,Sidi Bouzid,35.04,9.48,sandy-loam,Olive,9,2023,35.98,0.1657,0.1491,0.2824,31.32,49.35,5.53,664.2,2.3175,1.86,0.1537,0.28,0.1,1,0.5154,medium
21,2023-08-05,Sidi Bouzid,35.04,9.48,sandy-loam,Pepper,8,2023,34.15,0.4172,0.3263,0.607,32.0,49.39,0.95,698.5,2.4062,1.934,0.2154,0.28,0.1,0,0.2994,mild
22,2021-08-11,Sfax,34.74,10.76,sandy-loam,Olive,8,2021,32.2,0.2299,0.1992,0.3755,28.86,48.91,2.84,713.1,2.0304,1.831,0.1742,0.28,0.1,0,0.3827,mild
23,2021-06-20,Sidi Bouzid,35.04,9.48,sandy-loam,Tomato,6,2021,28.98,0.3603,0.2903,0.5421,25.92,45.52,1.47,759.5,1.8224,1.77,0.2005,0.28,0.1,0,0.3812,mild
24,2021-09-17,Nabeul,36.45,10.73,sandy,Wheat,9,2021,33.34,0.1281,0.118,0.2241,28.0,43.84,2.31,525.7,2.1229,1.543,0.0917,0.18,0.06,1,0.6318,medium
